patternlen,textlen,cmp,timetaken
15,845,62,16000
11,873,79,9000
18,903,51,7000
23,933,47,7000
24,962,44,8000
13,989,86,10000
23,1016,48,8000
22,1044,54,8000
11,1071,115,13000
20,1099,62,8000
15,1128,79,9000
15,1157,79,9000
13,1187,108,12000
25,1217,56,10000
21,1245,63,10000
15,1275,96,11000
31,1304,48,8000
23,1332,62,9000
15,1361,92,11000
17,1390,86,29000
16,1420,94,10000
7,1450,233,19000
10,1478,161,13000
29,1504,52,9000
17,1533,95,11000
19,1560,90,10000
12,1587,173,16000
11,1616,159,14000
13,1645,140,13000
24,1675,75,10000
