patternlen,textlen,cmp,timetaken
15,845,105,5000
11,873,110,3000
18,903,77,3000
23,933,107,3000
24,962,116,4000
13,989,131,4000
23,1016,82,3000
22,1044,94,3000
11,1071,157,5000
20,1099,88,4000
15,1128,115,4000
15,1157,122,4000
13,1187,139,5000
25,1217,109,3000
21,1245,224,7000
15,1275,138,4000
31,1304,81,3000
23,1332,108,4000
15,1361,141,5000
17,1390,155,5000
16,1420,162,5000
7,1450,327,8000
10,1478,235,7000
29,1504,119,4000
17,1533,170,5000
19,1560,174,5000
12,1587,232,7000
11,1616,203,5000
13,1645,218,6000
24,1675,193,5000
